Model,MDO34
Firmware Version,1.6.0

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.1
Horizontal Delay,0
Sample Interval,0.001
Record Length,1000
Gating,0.1% to 100.0%
Probe Attenuation,200
Vertical Units,V
Vertical Offset,0
Vertical Scale,200
Vertical Position,0.02
,
,
,
Label,UL31
TIME,CH3
-5.00e-01,4
-4.99e-01,-4
-4.98e-01,4
-4.97e-01,4
-4.96e-01,4
-4.95e-01,-4
-4.94e-01,4
-4.93e-01,-4
-4.92e-01,-4
-4.91e-01,-4
-4.90e-01,4
-4.89e-01,4
-4.88e-01,4
-4.87e-01,4
-4.86e-01,4
-4.85e-01,4
-4.84e-01,4
-4.83e-01,4
-4.82e-01,-4
-4.81e-01,-4
-4.80e-01,-4
-4.79e-01,4
-4.78e-01,-4
-4.77e-01,4
-4.76e-01,4
-4.75e-01,4
-4.74e-01,4
-4.73e-01,-4
-4.72e-01,4
-4.71e-01,4
-4.70e-01,-4
-4.69e-01,12
-4.68e-01,4
-4.67e-01,-4
-4.66e-01,4
-4.65e-01,-4
-4.64e-01,-4
-4.63e-01,4
-4.62e-01,4
-4.61e-01,4
-4.60e-01,-4
-4.59e-01,-4
-4.58e-01,4
-4.57e-01,4
-4.56e-01,4
-4.55e-01,4
-4.54e-01,4
-4.53e-01,4
-4.52e-01,4
-4.51e-01,4
-4.50e-01,4
-4.49e-01,4
-4.48e-01,4
-4.47e-01,4
-4.46e-01,4
-4.45e-01,4
-4.44e-01,4
-4.43e-01,-4
-4.42e-01,4
-4.41e-01,4
-4.40e-01,4
-4.39e-01,4
-4.38e-01,-4
-4.37e-01,4
-4.36e-01,-4
-4.35e-01,4
-4.34e-01,4
-4.33e-01,12
-4.32e-01,-4
-4.31e-01,-4
-4.30e-01,4
-4.29e-01,4
-4.28e-01,4
-4.27e-01,4
-4.26e-01,4
-4.25e-01,4
-4.24e-01,4
-4.23e-01,4
-4.22e-01,-4
-4.21e-01,4
-4.20e-01,-4
-4.19e-01,4
-4.18e-01,4
-4.17e-01,-4
-4.16e-01,4
-4.15e-01,4
-4.14e-01,4
-4.13e-01,12
-4.12e-01,4
-4.11e-01,4
-4.10e-01,4
-4.09e-01,4
-4.08e-01,4
-4.07e-01,4
-4.06e-01,4
-4.05e-01,4
-4.04e-01,4
-4.03e-01,12
-4.02e-01,4
-4.01e-01,4
-4.00e-01,-4
-3.99e-01,-4
-3.98e-01,4
-3.97e-01,12
-3.96e-01,-4
-3.95e-01,4
-3.94e-01,-4
-3.93e-01,4
-3.92e-01,-4
-3.91e-01,4
-3.90e-01,4
-3.89e-01,-4
-3.88e-01,4
-3.87e-01,-4
-3.86e-01,-4
-3.85e-01,4
-3.84e-01,4
-3.83e-01,-4
-3.82e-01,4
-3.81e-01,4
-3.80e-01,4
-3.79e-01,-4
-3.78e-01,4
-3.77e-01,4
-3.76e-01,4
-3.75e-01,4
-3.74e-01,4
-3.73e-01,4
-3.72e-01,-4
-3.71e-01,4
-3.70e-01,4
-3.69e-01,4
-3.68e-01,4
-3.67e-01,4
-3.66e-01,-4
-3.65e-01,4
-3.64e-01,-4
-3.63e-01,-4
-3.62e-01,4
-3.61e-01,-4
-3.60e-01,4
-3.59e-01,4
-3.58e-01,4
-3.57e-01,-4
-3.56e-01,-4
-3.55e-01,4
-3.54e-01,-4
-3.53e-01,-4
-3.52e-01,4
-3.51e-01,4
-3.50e-01,4
-3.49e-01,-4
-3.48e-01,-4
-3.47e-01,4
-3.46e-01,-4
-3.45e-01,4
-3.44e-01,4
-3.43e-01,4
-3.42e-01,-4
-3.41e-01,-4
-3.40e-01,4
-3.39e-01,4
-3.38e-01,4
-3.37e-01,4
-3.36e-01,4
-3.35e-01,-4
-3.34e-01,-4
-3.33e-01,4
-3.32e-01,4
-3.31e-01,4
-3.30e-01,4
-3.29e-01,4
-3.28e-01,4
-3.27e-01,-4
-3.26e-01,4
-3.25e-01,4
-3.24e-01,4
-3.23e-01,4
-3.22e-01,4
-3.21e-01,4
-3.20e-01,-4
-3.19e-01,4
-3.18e-01,4
-3.17e-01,4
-3.16e-01,4
-3.15e-01,4
-3.14e-01,4
-3.13e-01,4
-3.12e-01,-4
-3.11e-01,4
-3.10e-01,-4
-3.09e-01,-4
-3.08e-01,4
-3.07e-01,4
-3.06e-01,-4
-3.05e-01,4
-3.04e-01,4
-3.03e-01,4
-3.02e-01,4
-3.01e-01,-4
-3.00e-01,4
-2.99e-01,4
-2.98e-01,4
-2.97e-01,-4
-2.96e-01,-4
-2.95e-01,-4
-2.94e-01,4
-2.93e-01,4
-2.92e-01,4
-2.91e-01,4
-2.90e-01,4
-2.89e-01,4
-2.88e-01,-4
-2.87e-01,4
-2.86e-01,4
-2.85e-01,4
-2.84e-01,4
-2.83e-01,12
-2.82e-01,4
-2.81e-01,4
-2.80e-01,4
-2.79e-01,4
-2.78e-01,12
-2.77e-01,4
-2.76e-01,4
-2.75e-01,4
-2.74e-01,-4
-2.73e-01,4
-2.72e-01,4
-2.71e-01,4
-2.70e-01,-4
-2.69e-01,4
-2.68e-01,-4
-2.67e-01,4
-2.66e-01,-4
-2.65e-01,-4
-2.64e-01,-4
-2.63e-01,-4
-2.62e-01,4
-2.61e-01,4
-2.60e-01,4
-2.59e-01,4
-2.58e-01,4
-2.57e-01,4
-2.56e-01,-4
-2.55e-01,-4
-2.54e-01,4
-2.53e-01,-4
-2.52e-01,4
-2.51e-01,4
-2.50e-01,4
-2.49e-01,4
-2.48e-01,4
-2.47e-01,4
-2.46e-01,4
-2.45e-01,4
-2.44e-01,4
-2.43e-01,-4
-2.42e-01,4
-2.41e-01,-4
-2.40e-01,4
-2.39e-01,4
-2.38e-01,-4
-2.37e-01,4
-2.36e-01,4
-2.35e-01,-4
-2.34e-01,4
-2.33e-01,-4
-2.32e-01,-4
-2.31e-01,4
-2.30e-01,-4
-2.29e-01,4
-2.28e-01,4
-2.27e-01,4
-2.26e-01,4
-2.25e-01,4
-2.24e-01,4
-2.23e-01,4
-2.22e-01,4
-2.21e-01,4
-2.20e-01,4
-2.19e-01,4
-2.18e-01,-4
-2.17e-01,4
-2.16e-01,4
-2.15e-01,4
-2.14e-01,4
-2.13e-01,4
-2.12e-01,4
-2.11e-01,4
-2.10e-01,4
-2.09e-01,4
-2.08e-01,4
-2.07e-01,4
-2.06e-01,-4
-2.05e-01,4
-2.04e-01,4
-2.03e-01,4
-2.02e-01,4
-2.01e-01,-4
-2.00e-01,-4
-1.99e-01,4
-1.98e-01,4
-1.97e-01,-4
-1.96e-01,4
-1.95e-01,-4
-1.94e-01,4
-1.93e-01,4
-1.92e-01,4
-1.91e-01,-4
-1.90e-01,-4
-1.89e-01,4
-1.88e-01,-4
-1.87e-01,-4
-1.86e-01,4
-1.85e-01,-4
-1.84e-01,4
-1.83e-01,4
-1.82e-01,-4
-1.81e-01,-4
-1.80e-01,4
-1.79e-01,4
-1.78e-01,4
-1.77e-01,4
-1.76e-01,4
-1.75e-01,4
-1.74e-01,4
-1.73e-01,-4
-1.72e-01,4
-1.71e-01,4
-1.70e-01,-4
-1.69e-01,4
-1.68e-01,4
-1.67e-01,-4
-1.66e-01,4
-1.65e-01,4
-1.64e-01,4
-1.63e-01,-4
-1.62e-01,4
-1.61e-01,-4
-1.60e-01,4
-1.59e-01,4
-1.58e-01,-4
-1.57e-01,4
-1.56e-01,4
-1.55e-01,4
-1.54e-01,4
-1.53e-01,4
-1.52e-01,4
-1.51e-01,4
-1.50e-01,4
-1.49e-01,4
-1.48e-01,4
-1.47e-01,4
-1.46e-01,-4
-1.45e-01,4
-1.44e-01,4
-1.43e-01,-4
-1.42e-01,4
-1.41e-01,4
-1.40e-01,-4
-1.39e-01,4
-1.38e-01,4
-1.37e-01,-4
-1.36e-01,4
-1.35e-01,4
-1.34e-01,4
-1.33e-01,4
-1.32e-01,4
-1.31e-01,4
-1.30e-01,4
-1.29e-01,4
-1.28e-01,4
-1.27e-01,4
-1.26e-01,4
-1.25e-01,4
-1.24e-01,4
-1.23e-01,4
-1.22e-01,-4
-1.21e-01,4
-1.20e-01,-4
-1.19e-01,4
-1.18e-01,4
-1.17e-01,-4
-1.16e-01,-4
-1.15e-01,4
-1.14e-01,-4
-1.13e-01,-4
-1.12e-01,-4
-1.11e-01,4
-1.10e-01,4
-1.09e-01,-4
-1.08e-01,-4
-1.07e-01,4
-1.06e-01,4
-1.05e-01,-4
-1.04e-01,4
-1.03e-01,4
-1.02e-01,4
-1.01e-01,-4
-1.00e-01,-4
-9.90e-02,4
-9.80e-02,-4
-9.70e-02,4
-9.60e-02,-4
-9.50e-02,4
-9.40e-02,4
-9.30e-02,4
-9.20e-02,-4
-9.10e-02,4
-9.00e-02,4
-8.90e-02,4
-8.80e-02,4
-8.70e-02,-4
-8.60e-02,4
-8.50e-02,-4
-8.40e-02,4
-8.30e-02,4
-8.20e-02,4
-8.10e-02,4
-8.00e-02,4
-7.90e-02,4
-7.80e-02,4
-7.70e-02,4
-7.60e-02,4
-7.50e-02,4
-7.40e-02,4
-7.30e-02,4
-7.20e-02,4
-7.10e-02,4
-7.00e-02,4
-6.90e-02,4
-6.80e-02,-4
-6.70e-02,-4
-6.60e-02,-4
-6.50e-02,4
-6.40e-02,-4
-6.30e-02,4
-6.20e-02,4
-6.10e-02,-4
-6.00e-02,4
-5.90e-02,4
-5.80e-02,4
-5.70e-02,4
-5.60e-02,4
-5.50e-02,4
-5.40e-02,-4
-5.30e-02,-4
-5.20e-02,4
-5.10e-02,4
-5.00e-02,4
-4.90e-02,-4
-4.80e-02,4
-4.70e-02,-4
-4.60e-02,4
-4.50e-02,-4
-4.40e-02,4
-4.30e-02,4
-4.20e-02,4
-4.10e-02,-4
-4.00e-02,4
-3.90e-02,-4
-3.80e-02,-4
-3.70e-02,4
-3.60e-02,4
-3.50e-02,4
-3.40e-02,4
-3.30e-02,-4
-3.20e-02,4
-3.10e-02,-4
-3.00e-02,4
-2.90e-02,4
-2.80e-02,4
-2.70e-02,4
-2.60e-02,4
-2.50e-02,-4
-2.40e-02,4
-2.30e-02,-4
-2.20e-02,4
-2.10e-02,12
-2.00e-02,-4
-1.90e-02,4
-1.80e-02,4
-1.70e-02,4
-1.60e-02,-4
-1.50e-02,4
-1.40e-02,-4
-1.30e-02,4
-1.20e-02,4
-1.10e-02,-4
-1.00e-02,-4
-9.00e-03,4
-8.00e-03,-4
-7.00e-03,4
-6.00e-03,12
-5.00e-03,4
-4.00e-03,4
-3.00e-03,-4
-2.00e-03,12
-1.00e-03,-4
0.00e+00,4
1.00e-03,-4
2.00e-03,4
3.00e-03,4
4.00e-03,-4
5.00e-03,-4
6.00e-03,-4
7.00e-03,-4
8.00e-03,4
9.00e-03,4
1.00e-02,-4
1.10e-02,-4
1.20e-02,-4
1.30e-02,4
1.40e-02,-4
1.50e-02,-4
1.60e-02,4
1.70e-02,4
1.80e-02,4
1.90e-02,4
2.00e-02,-4
2.10e-02,4
2.20e-02,4
2.30e-02,4
2.40e-02,-4
2.50e-02,4
2.60e-02,4
2.70e-02,-4
2.80e-02,4
2.90e-02,4
3.00e-02,4
3.10e-02,-4
3.20e-02,4
3.30e-02,4
3.40e-02,4
3.50e-02,4
3.60e-02,-4
3.70e-02,-4
3.80e-02,4
3.90e-02,4
4.00e-02,4
4.10e-02,4
4.20e-02,-4
4.30e-02,-4
4.40e-02,4
4.50e-02,4
4.60e-02,-4
4.70e-02,4
4.80e-02,-4
4.90e-02,-4
5.00e-02,4
5.10e-02,4
5.20e-02,4
5.30e-02,4
5.40e-02,4
5.50e-02,12
5.60e-02,-4
5.70e-02,4
5.80e-02,4
5.90e-02,4
6.00e-02,4
6.10e-02,4
6.20e-02,4
6.30e-02,4
6.40e-02,4
6.50e-02,4
6.60e-02,4
6.70e-02,4
6.80e-02,4
6.90e-02,-4
7.00e-02,4
7.10e-02,4
7.20e-02,4
7.30e-02,4
7.40e-02,4
7.50e-02,4
7.60e-02,-4
7.70e-02,4
7.80e-02,4
7.90e-02,4
8.00e-02,4
8.10e-02,-4
8.20e-02,-4
8.30e-02,-4
8.40e-02,-4
8.50e-02,4
8.60e-02,4
8.70e-02,4
8.80e-02,-4
8.90e-02,4
9.00e-02,4
9.10e-02,4
9.20e-02,-4
9.30e-02,4
9.40e-02,4
9.50e-02,4
9.60e-02,4
9.70e-02,4
9.80e-02,4
9.90e-02,4
1.00e-01,4
1.01e-01,-4
1.02e-01,-4
1.03e-01,4
1.04e-01,4
1.05e-01,4
1.06e-01,-4
1.07e-01,4
1.08e-01,4
1.09e-01,4
1.10e-01,-4
1.11e-01,4
1.12e-01,4
1.13e-01,4
1.14e-01,4
1.15e-01,4
1.16e-01,-4
1.17e-01,-4
1.18e-01,4
1.19e-01,4
1.20e-01,-4
1.21e-01,-4
1.22e-01,4
1.23e-01,-4
1.24e-01,4
1.25e-01,4
1.26e-01,4
1.27e-01,4
1.28e-01,4
1.29e-01,4
1.30e-01,-4
1.31e-01,4
1.32e-01,4
1.33e-01,4
1.34e-01,-4
1.35e-01,4
1.36e-01,12
1.37e-01,4
1.38e-01,-4
1.39e-01,4
1.40e-01,4
1.41e-01,-4
1.42e-01,4
1.43e-01,4
1.44e-01,4
1.45e-01,4
1.46e-01,4
1.47e-01,4
1.48e-01,4
1.49e-01,4
1.50e-01,4
1.51e-01,4
1.52e-01,4
1.53e-01,4
1.54e-01,4
1.55e-01,4
1.56e-01,4
1.57e-01,-4
1.58e-01,-4
1.59e-01,4
1.60e-01,4
1.61e-01,4
1.62e-01,4
1.63e-01,4
1.64e-01,4
1.65e-01,4
1.66e-01,4
1.67e-01,-4
1.68e-01,4
1.69e-01,-4
1.70e-01,4
1.71e-01,4
1.72e-01,-4
1.73e-01,4
1.74e-01,4
1.75e-01,4
1.76e-01,12
1.77e-01,-4
1.78e-01,4
1.79e-01,4
1.80e-01,4
1.81e-01,4
1.82e-01,-4
1.83e-01,4
1.84e-01,4
1.85e-01,4
1.86e-01,12
1.87e-01,4
1.88e-01,-4
1.89e-01,-4
1.90e-01,-4
1.91e-01,4
1.92e-01,12
1.93e-01,4
1.94e-01,4
1.95e-01,4
1.96e-01,4
1.97e-01,4
1.98e-01,4
1.99e-01,4
2.00e-01,-4
2.01e-01,4
2.02e-01,4
2.03e-01,4
2.04e-01,-4
2.05e-01,4
2.06e-01,-4
2.07e-01,4
2.08e-01,4
2.09e-01,4
2.10e-01,-4
2.11e-01,4
2.12e-01,4
2.13e-01,4
2.14e-01,4
2.15e-01,4
2.16e-01,4
2.17e-01,-4
2.18e-01,-4
2.19e-01,4
2.20e-01,4
2.21e-01,4
2.22e-01,4
2.23e-01,4
2.24e-01,4
2.25e-01,4
2.26e-01,-4
2.27e-01,4
2.28e-01,4
2.29e-01,4
2.30e-01,4
2.31e-01,-4
2.32e-01,4
2.33e-01,-4
2.34e-01,-4
2.35e-01,4
2.36e-01,4
2.37e-01,4
2.38e-01,-4
2.39e-01,4
2.40e-01,4
2.41e-01,4
2.42e-01,4
2.43e-01,4
2.44e-01,4
2.45e-01,4
2.46e-01,-4
2.47e-01,4
2.48e-01,4
2.49e-01,4
2.50e-01,-4
2.51e-01,4
2.52e-01,-4
2.53e-01,4
2.54e-01,4
2.55e-01,12
2.56e-01,4
2.57e-01,4
2.58e-01,-4
2.59e-01,4
2.60e-01,4
2.61e-01,4
2.62e-01,-4
2.63e-01,-4
2.64e-01,4
2.65e-01,4
2.66e-01,4
2.67e-01,4
2.68e-01,4
2.69e-01,-4
2.70e-01,-4
2.71e-01,-4
2.72e-01,4
2.73e-01,4
2.74e-01,4
2.75e-01,4
2.76e-01,4
2.77e-01,4
2.78e-01,4
2.79e-01,4
2.80e-01,4
2.81e-01,4
2.82e-01,4
2.83e-01,4
2.84e-01,4
2.85e-01,4
2.86e-01,12
2.87e-01,4
2.88e-01,4
2.89e-01,4
2.90e-01,4
2.91e-01,-4
2.92e-01,4
2.93e-01,4
2.94e-01,4
2.95e-01,4
2.96e-01,4
2.97e-01,-4
2.98e-01,-4
2.99e-01,4
3.00e-01,4
3.01e-01,4
3.02e-01,4
3.03e-01,4
3.04e-01,4
3.05e-01,-4
3.06e-01,4
3.07e-01,4
3.08e-01,4
3.09e-01,4
3.10e-01,4
3.11e-01,4
3.12e-01,4
3.13e-01,4
3.14e-01,4
3.15e-01,-4
3.16e-01,-4
3.17e-01,-4
3.18e-01,-4
3.19e-01,4
3.20e-01,-4
3.21e-01,4
3.22e-01,4
3.23e-01,4
3.24e-01,4
3.25e-01,4
3.26e-01,-4
3.27e-01,4
3.28e-01,4
3.29e-01,4
3.30e-01,4
3.31e-01,4
3.32e-01,4
3.33e-01,4
3.34e-01,4
3.35e-01,4
3.36e-01,4
3.37e-01,-4
3.38e-01,-4
3.39e-01,4
3.40e-01,4
3.41e-01,4
3.42e-01,4
3.43e-01,4
3.44e-01,4
3.45e-01,-4
3.46e-01,4
3.47e-01,-4
3.48e-01,4
3.49e-01,4
3.50e-01,4
3.51e-01,-4
3.52e-01,4
3.53e-01,4
3.54e-01,4
3.55e-01,4
3.56e-01,4
3.57e-01,4
3.58e-01,4
3.59e-01,4
3.60e-01,-4
3.61e-01,4
3.62e-01,4
3.63e-01,4
3.64e-01,4
3.65e-01,4
3.66e-01,4
3.67e-01,4
3.68e-01,-4
3.69e-01,4
3.70e-01,4
3.71e-01,4
3.72e-01,4
3.73e-01,4
3.74e-01,4
3.75e-01,4
3.76e-01,-4
3.77e-01,4
3.78e-01,4
3.79e-01,-4
3.80e-01,4
3.81e-01,4
3.82e-01,4
3.83e-01,4
3.84e-01,-4
3.85e-01,-4
3.86e-01,-4
3.87e-01,4
3.88e-01,4
3.89e-01,4
3.90e-01,4
3.91e-01,4
3.92e-01,4
3.93e-01,4
3.94e-01,4
3.95e-01,-4
3.96e-01,4
3.97e-01,-4
3.98e-01,4
3.99e-01,-4
4.00e-01,4
4.01e-01,4
4.02e-01,4
4.03e-01,4
4.04e-01,4
4.05e-01,4
4.06e-01,4
4.07e-01,-4
4.08e-01,4
4.09e-01,4
4.10e-01,4
4.11e-01,-4
4.12e-01,4
4.13e-01,4
4.14e-01,4
4.15e-01,4
4.16e-01,4
4.17e-01,12
4.18e-01,4
4.19e-01,4
4.20e-01,4
4.21e-01,4
4.22e-01,4
4.23e-01,4
4.24e-01,4
4.25e-01,-4
4.26e-01,4
4.27e-01,-4
4.28e-01,-4
4.29e-01,4
4.30e-01,4
4.31e-01,-4
4.32e-01,4
4.33e-01,-4
4.34e-01,4
4.35e-01,4
4.36e-01,4
4.37e-01,4
4.38e-01,4
4.39e-01,4
4.40e-01,12
4.41e-01,4
4.42e-01,4
4.43e-01,4
4.44e-01,4
4.45e-01,4
4.46e-01,4
4.47e-01,4
4.48e-01,4
4.49e-01,4
4.50e-01,12
4.51e-01,4
4.52e-01,4
4.53e-01,4
4.54e-01,12
4.55e-01,4
4.56e-01,4
4.57e-01,4
4.58e-01,4
4.59e-01,4
4.60e-01,4
4.61e-01,-4
4.62e-01,12
4.63e-01,4
4.64e-01,-4
4.65e-01,4
4.66e-01,4
4.67e-01,-4
4.68e-01,4
4.69e-01,4
4.70e-01,-4
4.71e-01,4
4.72e-01,-4
4.73e-01,4
4.74e-01,-4
4.75e-01,4
4.76e-01,-4
4.77e-01,4
4.78e-01,4
4.79e-01,4
4.80e-01,-4
4.81e-01,-4
4.82e-01,-4
4.83e-01,4
4.84e-01,-4
4.85e-01,-4
4.86e-01,-4
4.87e-01,4
4.88e-01,4
4.89e-01,4
4.90e-01,-4
4.91e-01,4
4.92e-01,4
4.93e-01,-4
4.94e-01,4
4.95e-01,4
4.96e-01,4
4.97e-01,4
4.98e-01,4
4.99e-01,-4

